cell,vertex,x,y
46,1,1.8,-2.3999999999999999
46,2,2.3999999999999999,-2
46,3,1.6000000000000001,-2.2000000000000002
47,0,-1.3999999999999999,-1
47,1,-0.40000000000000002,-1.3999999999999999
47,2,-0.20000000000000001,-1.3999999999999999
47,3,1.3999999999999999,-1
47,4,1.6000000000000001,-0.40000000000000002
47,5,1,-0.20000000000000001
47,6,0.20000000000000001,-0.40000000000000002
48,0,-0.20000000000000001,-1.8
48,1,0.59999999999999998,-1.6000000000000001
48,2,-0.20000000000000001,-1.3999999999999999
49,0,1.3999999999999999,-2.6000000000000001
49,1,1.8,-2.3999999999999999
49,2,1.3999999999999999,-2.3999999999999999
50,0,2.7999999999999998,-0.20000000000000001
50,1,3.2000000000000002,-0.59999999999999998
50,2,3,0
51,0,0.80000000000000004,-2.3999999999999999
51,1,1,-2.6000000000000001
51,2,1.3999999999999999,-2.3999999999999999
51,3,1.6000000000000001,-2.2000000000000002
51,4,1.6000000000000001,-2
52,0,1,-3
52,1,1.2,-2.7999999999999998
52,2,1,-2.7999999999999998
53,0,-1.2,-2.2000000000000002
53,1,0.20000000000000001,-2.6000000000000001
53,2,0.80000000000000004,-2.3999999999999999
53,3,0.20000000000000001,-2.2000000000000002
54,0,1,-2.6000000000000001
54,1,1.3999999999999999,-2.6000000000000001
54,2,1.3999999999999999,-2.3999999999999999
55,0,-0.59999999999999998,-2
55,1,0.20000000000000001,-2.2000000000000002
55,2,1,-2
55,3,-0.20000000000000001,-1.8
56,0,1,-2.7999999999999998
56,1,1.2,-2.7999999999999998
56,2,1.3999999999999999,-2.6000000000000001
57,0,1.6000000000000001,-2.2000000000000002
57,1,2.3999999999999999,-2
57,2,2,-2
58,0,-3,-2
58,1,-2.2000000000000002,-2.2000000000000002
58,2,-2.7999999999999998,-2
59,0,-2,-1.8
59,1,-1.2,-2.2000000000000002
59,2,-0.59999999999999998,-2
60,0,-3.2000000000000002,-1.8
60,1,-3,-2
60,2,-2.7999999999999998,-2
61,0,-3,-1.2
61,1,-2.7999999999999998,-1.6000000000000001
61,2,-2.3999999999999999,-1.6000000000000001
62,0,-2.7999999999999998,-2
62,1,-2.2000000000000002,-2.2000000000000002
62,2,-2,-1.8
63,0,-2.7999999999999998,-1
63,1,-0.20000000000000001,-1.2
63,2,0.20000000000000001,-0.40000000000000002
63,3,-2.2000000000000002,-0.20000000000000001
64,0,0.20000000000000001,1.8
64,1,1.2,1.2
64,2,1.6000000000000001,1.2
64,3,1.2,1.3999999999999999
65,0,0.20000000000000001,-2.6000000000000001
65,1,1,-2.7999999999999998
65,2,0.40000000000000002,-2.6000000000000001
66,0,-2.2000000000000002,-2.2000000000000002
66,1,-1.2,-2.2000000000000002
66,2,-2,-1.8
67,0,-1,-2.3999999999999999
67,1,-0.40000000000000002,-2.6000000000000001
67,2,0,-2.6000000000000001
68,0,-2,-1.8
68,1,-0.59999999999999998,-2
68,2,-0.80000000000000004,-1.8
69,0,0.40000000000000002,-2.6000000000000001
69,1,1,-2.7999999999999998
69,2,1,-2.6000000000000001
70,0,-0.20000000000000001,-1.8
70,1,1,-2
70,2,1.3999999999999999,-1.8
70,3,0.59999999999999998,-1.6000000000000001
71,0,-1.2,-2.2000000000000002
71,1,-1,-2.3999999999999999
71,2,0,-2.6000000000000001
71,3,0.20000000000000001,-2.6000000000000001
72,0,0.40000000000000002,-2.6000000000000001
72,1,1,-2.6000000000000001
72,2,0.80000000000000004,-2.3999999999999999
73,0,-2,-1.3999999999999999
73,1,-0.40000000000000002,-1.3999999999999999
73,2,-1.6000000000000001,-1.2
74,0,-1.3999999999999999,0
74,1,0.59999999999999998,0.20000000000000001
74,2,1,0.40000000000000002
74,3,0.40000000000000002,0.80000000000000004
74,4,-0.59999999999999998,1
74,5,-1,0.59999999999999998
75,0,0.80000000000000004,1.2
75,1,1,1
75,2,1.6000000000000001,0.59999999999999998
75,3,1.2,1.2
76,0,0.40000000000000002,0.80000000000000004
76,1,1.3999999999999999,0
76,2,1.6000000000000001,0.59999999999999998
76,3,0.80000000000000004,0.80000000000000004
77,0,-3,-1.2
77,1,-2,-1.3999999999999999
77,2,-2.6000000000000001,-1.2
78,0,-4,-1
78,1,-3.7999999999999998,-1.2
78,2,-3.6000000000000001,-1
79,0,-2.7999999999999998,0.59999999999999998
79,1,-2.3999999999999999,1
79,2,-2,1.8
79,3,-2.6000000000000001,1.2
80,0,-3.2000000000000002,-0.80000000000000004
80,1,-2.7999999999999998,-0.40000000000000002
80,2,-2.7999999999999998,0
80,3,-3.2000000000000002,0
81,0,-2.7999999999999998,0
81,1,-2.3999999999999999,-0.20000000000000001
81,2,-2,0.80000000000000004
82,0,-4,-1
82,1,-3.7999999999999998,-0.80000000000000004
82,2,-3.6000000000000001,-0.20000000000000001
83,0,-3.2000000000000002,0
83,1,-3,1
83,2,-3.2000000000000002,0.59999999999999998
84,0,-2.7999999999999998,-0.40000000000000002
84,1,-2.3999999999999999,-0.20000000000000001
84,2,-2.7999999999999998,0
85,0,-2.2000000000000002,-0.20000000000000001
85,1,-1.3999999999999999,0
85,2,-0.59999999999999998,1
85,3,-1.6000000000000001,0.80000000000000004
86,0,-3.2000000000000002,0
86,1,-2.7999999999999998,0
86,2,-2.7999999999999998,0.59999999999999998
87,0,-2.7999999999999998,1.2
87,1,-2,1.8
87,2,-2.2000000000000002,2.3999999999999999
88,0,-1.8,1.3999999999999999
88,1,-0.80000000000000004,1.2
88,2,0.20000000000000001,1.3999999999999999
88,3,-1.3999999999999999,2
89,0,-3.6000000000000001,-0.20000000000000001
89,1,-3.3999999999999999,0
89,2,-3.2000000000000002,0.59999999999999998
90,0,-3.2000000000000002,0
90,1,-2.7999999999999998,0.59999999999999998
90,2,-2.7999999999999998,1.2
91,0,-2.3999999999999999,1
91,1,-1.8,1.3999999999999999
91,2,-2,1.8
92,0,-1,2.3999999999999999
92,1,0.20000000000000001,1.8
92,2,-0.40000000000000002,2.2000000000000002
93,0,-2.2000000000000002,-0.20000000000000001
93,1,-0.59999999999999998,1
93,2,-1.8,1.3999999999999999
94,0,-1.3999999999999999,2
94,1,0.20000000000000001,1.8
94,2,-1,2.3999999999999999
95,0,-3.7999999999999998,-0.80000000000000004
95,1,-3.6000000000000001,-1
95,2,-3.2000000000000002,0
96,0,-0.59999999999999998,1
96,1,0.40000000000000002,0.80000000000000004
96,2,0.20000000000000001,1.2
97,0,2,0.40000000000000002
97,1,2.6000000000000001,0.20000000000000001
97,2,2,0.80000000000000004
98,0,0.20000000000000001,1.2
98,1,0.40000000000000002,0.80000000000000004
98,2,1.6000000000000001,0.59999999999999998
98,3,1,1
99,0,2,0.80000000000000004
99,1,2.7999999999999998,0.20000000000000001
99,2,2.2000000000000002,0.80000000000000004
100,0,1.2,1.2
100,1,1.6000000000000001,0.59999999999999998
100,2,1.6000000000000001,1.2
101,0,2.3999999999999999,-0.59999999999999998
101,1,3,-1.2
101,2,3.2000000000000002,-0.59999999999999998
102,0,2,0.40000000000000002
102,1,3,0
102,2,2.6000000000000001,0.20000000000000001
103,0,1.3999999999999999,0
103,1,2,0.40000000000000002
103,2,1.6000000000000001,0.59999999999999998
104,0,3,-1.2
104,1,3.2000000000000002,-1.3999999999999999
104,2,3.7999999999999998,-0.80000000000000004
105,0,1.6000000000000001,-2
105,1,2,-2
105,2,2.3999999999999999,-1.6000000000000001
106,0,0.59999999999999998,-1.6000000000000001
106,1,1.3999999999999999,-1.8
106,2,3,-1.2
107,0,2.2000000000000002,-1.2
107,1,3,-1.2
107,2,2.3999999999999999,-0.59999999999999998
108,0,0.59999999999999998,-1.6000000000000001
108,1,2.2000000000000002,-1.2
