x,y,ell_A,ell_A_exact
-1,0.20000000000000001,0.0014031766094413525,1660415972/1183326432915
-1,0.40000000000000002,0.0014013197439654524,150747154/107575130265
-1,0.59999999999999998,0.0013994628784895521,1656021416/1183326432915
-1,0.80000000000000004,0.001397606013013652,1653824138/1183326432915
-1,1,0.0013957491475377517,330325372/236665286583
-1,1.2,0.0013938922820618516,1649429582/1183326432915
-1,1.3999999999999999,0.0013920354165859513,1647232304/1183326432915
-1,1.6000000000000001,0.0013901785511100512,1645035026/1183326432915
-1,1.8,0.0013883216856341509,1642837748/1183326432915
-1,2,0.0013864648201582508,328128094/236665286583
-1,2.2000000000000002,0.0013846079546823505,1638443192/1183326432915
-1,2.3999999999999999,0.0013827510892064504,1636245914/1183326432915
-0.80000000000000004,-2.3999999999999999,0.0014268861727702868,337694425/236665286583
-0.80000000000000004,-2.2000000000000002,0.0014250293072943865,1686274847/1183326432915
-0.80000000000000004,-2,0.0014231724418184864,1684077569/1183326432915
-0.80000000000000004,-1.8,0.0014213155763425861,1681880291/1183326432915
-0.80000000000000004,-1.6000000000000001,0.001419458710866686,1679683013/1183326432915
-0.80000000000000004,-1.3999999999999999,0.0014176018453907857,335497147/236665286583
-0.80000000000000004,-1.2,0.0014157449799148856,1675288457/1183326432915
-0.80000000000000004,-1,0.0014138881144389853,1673091179/1183326432915
-0.80000000000000004,-0.80000000000000004,0.0014120312489630852,1670893901/1183326432915
-0.80000000000000004,-0.59999999999999998,0.0014101743834871849,151699693/107575130265
-0.80000000000000004,-0.40000000000000002,0.0014083175180112848,333299869/236665286583
-0.80000000000000004,-0.20000000000000001,0.0014064606525353847,1664302067/1183326432915
-0.80000000000000004,0,0.0014046037870594844,1662104789/1183326432915
-0.80000000000000004,0.20000000000000001,0.0014027469215835843,1659907511/1183326432915
-0.80000000000000004,0.40000000000000002,0.0014008900561076839,1657710233/1183326432915
-0.80000000000000004,0.59999999999999998,0.0013990331906317838,331102591/236665286583
-0.80000000000000004,0.80000000000000004,0.0013971763251558835,1653315677/1183326432915
-0.80000000000000004,1,0.0013953194596799834,1651118399/1183326432915
-0.80000000000000004,1.2,0.0013934625942040831,1648921121/1183326432915
-0.80000000000000004,1.3999999999999999,0.001391605728728183,1646723843/1183326432915
-0.80000000000000004,1.6000000000000001,0.0013897488632522827,29900483/21515026053
-0.80000000000000004,1.8,0.0013878919977763826,1642329287/1183326432915
-0.80000000000000004,2,0.0013860351323004823,1640132009/1183326432915
-0.80000000000000004,2.2000000000000002,0.0013841782668245822,1637934731/1183326432915
-0.80000000000000004,2.3999999999999999,0.0013823214013486819,1635737453/1183326432915
-0.59999999999999998,-2.6000000000000001,0.0014283133503884186,1690160942/1183326432915
-0.59999999999999998,-2.3999999999999999,0.0014264564849125183,1687963664/1183326432915
-0.59999999999999998,-2.2000000000000002,0.0014245996194366182,1685766386/1183326432915
-0.59999999999999998,-2,0.0014227427539607179,1683569108/1183326432915
-0.59999999999999998,-1.8,0.0014208858884848178,336274366/236665286583
-0.59999999999999998,-1.6000000000000001,0.0014190290230089175,152652232/107575130265
-0.59999999999999998,-1.3999999999999999,0.0014171721575330174,1676977274/1183326432915
-0.59999999999999998,-1.2,0.0014153152920571171,1674779996/1183326432915
-0.59999999999999998,-1,0.001413458426581217,1672582718/1183326432915
-0.59999999999999998,-0.80000000000000004,0.0014116015611053167,334077088/236665286583
-0.59999999999999998,-0.59999999999999998,0.0014097446956294166,1668188162/1183326432915
-0.59999999999999998,-0.40000000000000002,0.0014078878301535163,40633924/28861620315
-0.59999999999999998,-0.20000000000000001,0.0014060309646776162,1663793606/1183326432915
-0.59999999999999998,0,0.0014041740992017159,1661596328/1183326432915
-0.59999999999999998,0.20000000000000001,0.0014023172337258158,331879810/236665286583
-0.59999999999999998,0.40000000000000002,0.0014004603682499154,1657201772/1183326432915
-0.59999999999999998,0.59999999999999998,0.0013986035027740153,150454954/107575130265
-0.59999999999999998,0.80000000000000004,0.001396746637298115,1652807216/1183326432915
-0.59999999999999998,1,0.0013948897718222149,1650609938/1183326432915
-0.59999999999999998,1.2,0.0013930329063463148,329682532/236665286583
-0.59999999999999998,1.3999999999999999,0.0013911760408704145,1646215382/1183326432915
-0.59999999999999998,1.6000000000000001,0.0013893191753945144,1644018104/1183326432915
-0.59999999999999998,1.8,0.0013874623099186141,1641820826/1183326432915
-0.59999999999999998,2,0.001385605444442714,1639623548/1183326432915
-0.59999999999999998,2.2000000000000002,0.0013837485789668137,327485254/236665286583
-0.40000000000000002,-2.6000000000000001,0.0014278836625306502,153604771/107575130265
-0.40000000000000002,-2.3999999999999999,0.0014260267970547498,1687455203/1183326432915
-0.40000000000000002,-2.2000000000000002,0.0014241699315788497,337051585/236665286583
-0.40000000000000002,-2,0.0014223130661029496,1683060647/1183326432915
-0.40000000000000002,-1.8,0.0014204562006270493,1680863369/1183326432915
-0.40000000000000002,-1.6000000000000001,0.0014185993351511492,1678666091/1183326432915
-0.40000000000000002,-1.3999999999999999,0.0014167424696752489,1676468813/1183326432915
-0.40000000000000002,-1.2,0.0014148856041993488,334854307/236665286583
-0.40000000000000002,-1,0.0014130287387234485,1672074257/1183326432915
-0.40000000000000002,-0.80000000000000004,0.0014111718732475484,1669876979/1183326432915
-0.40000000000000002,-0.59999999999999998,0.0014093150077716481,1667679701/1183326432915
-0.40000000000000002,-0.40000000000000002,0.001407458142295748,151407493/107575130265
-0.40000000000000002,-0.20000000000000001,0.0014056012768198477,332657029/236665286583
-0.40000000000000002,0,0.0014037444113439476,1661087867/1183326432915
-0.40000000000000002,0.20000000000000001,0.0014018875458680473,1658890589/1183326432915
-0.40000000000000002,0.40000000000000002,0.0014000306803921472,1656693311/1183326432915
-0.40000000000000002,0.59999999999999998,0.0013981738149162468,1654496033/1183326432915
-0.40000000000000002,0.80000000000000004,0.0013963169494403467,330459751/236665286583
-0.40000000000000002,1,0.0013944600839644464,1650101477/1183326432915
-0.40000000000000002,1.2,0.0013926032184885463,1647904199/1183326432915
-0.40000000000000002,1.3999999999999999,0.001390746353012646,1645706921/1183326432915
-0.40000000000000002,1.6000000000000001,0.0013888894875367459,1643509643/1183326432915
-0.40000000000000002,1.8,0.0013870326220608456,29842043/21515026053
-0.40000000000000002,2,0.0013851757565849455,1639115087/1183326432915
-0.40000000000000002,2.2000000000000002,0.0013833188911090452,1636917809/1183326432915
-0.20000000000000001,-2.6000000000000001,0.0014274539746728817,337828804/236665286583
-0.20000000000000001,-2.3999999999999999,0.0014255971091969816,1686946742/1183326432915
-0.20000000000000001,-2.2000000000000002,0.0014237402437210812,1684749464/1183326432915
-0.20000000000000001,-2,0.0014218833782451811,1682552186/1183326432915
-0.20000000000000001,-1.8,0.0014200265127692808,1680354908/1183326432915
-0.20000000000000001,-1.6000000000000001,0.0014181696472933807,335631526/236665286583
-0.20000000000000001,-1.3999999999999999,0.0014163127818174804,152360032/107575130265
-0.20000000000000001,-1.2,0.0014144559163415803,1673763074/1183326432915
-0.20000000000000001,-1,0.00141259905086568,1671565796/1183326432915
-0.20000000000000001,-0.80000000000000004,0.0014107421853897799,1669368518/1183326432915
-0.20000000000000001,-0.59999999999999998,0.0014088853199138796,333434248/236665286583
-0.20000000000000001,-0.40000000000000002,0.0014070284544379795,1664973962/1183326432915
-0.20000000000000001,-0.20000000000000001,0.0014051715889620794,1662776684/1183326432915
-0.20000000000000001,0,0.0014033147234861791,1660579406/1183326432915
-0.20000000000000001,0.20000000000000001,0.001401457858010279,1658382128/1183326432915
-0.20000000000000001,0.40000000000000002,0.0013996009925343787,331236970/236665286583
-0.20000000000000001,0.59999999999999998,0.0013977441270584786,1653987572/1183326432915
-0.20000000000000001,0.80000000000000004,0.0013958872615825783,150162754/107575130265
-0.20000000000000001,1,0.0013940303961066782,40233976/28861620315
-0.20000000000000001,1.2,0.0013921735306307778,1647395738/1183326432915
-0.20000000000000001,1.3999999999999999,0.0013903166651548777,329039692/236665286583
-0.20000000000000001,1.6000000000000001,0.0013884597996789774,1643001182/1183326432915
-0.20000000000000001,1.8,0.0013866029342030773,1640803904/1183326432915
