x,y,sigma,sigma_vee,psi
-4,-0.625,0.00040221437373266447,0.00040221437373266447,0.26876698873881233
-4,-0.5,0.00040151853933072267,0.00040122306568146626,0.22867056068394748
-4,-0.375,0.00040025881478256278,0.00040023175763026801,0.1885741326290804
-4,-0.25,0.00040002016558055844,0.00039924044957906981,0.14847770457421552
-4,-0.125,0.0003982491415278716,0.0003982491415278716,0.10838127651935064
-4,0,0.00039854689591762769,0.00039757452949146726,0.081094568870867662
-4,0.125,0.00039712206143135997,0.00039689991745506297,0.053807861222386871
-4,0.25,0.00039622530541865867,0.00039622530541865867,0.026521153573906081
-4,0.375,0.00039586894557823161,0.00039559175997648391,0.00089550752882128215
-4,0.5,0.00039532274222388628,0.0003949582145343092,-0.024730138516261324
-4,0.625,0.00039457475072136389,0.00039439070043351067,-0.04768494886536051
-4,0.75,0.00039578288746656271,0.0003939203614606216,-0.066709219640777417
-4,0.875,0.00039420377410571939,0.00039354719761564185,-0.081802950842518624
-4,1,0.00039413768829305192,0.00039323772403565983,-0.094320538205631355
-4,1.125,0.0003945340508362575,0.00039292825045567786,-0.10683812556874189
-4,1.25,0.0003926187768756959,0.0003926187768756959,-0.11935571293185243
-4,1.375,0.00039525604133494921,0.00039231386607154823,-0.13168874513801729
-4,1.5,0.00039268741294145015,0.00039200895526740061,-0.14402177734417995
-4,1.625,0.000391704044463253,0.000391704044463253,-0.15635480955034262
-4,1.75,0.00039318904539637026,0.0003916895333301689,-0.15694175586132844
-4,1.875,0.0003921224197431066,0.00039167502219708479,-0.15752870217231427
-4,2,0.00039193058721730128,0.00039166051106400074,-0.1581156484832979
-4,2.125,0.00039188080947687143,0.00039164599993091664,-0.15870259479428372
-4,2.25,0.00039231283882045257,0.00039163148879783254,-0.15928954110526955
-4,2.375,0.00039173263484261077,0.00039161697766474849,-0.15987648741625318
-4,2.5,0.00039160246653166444,0.00039160246653166444,-0.16046343372723681
-4,2.625,0.00039341248792771119,0.00039184565115482075,-0.15062710208981028
-4,2.75,0.00039208883577797712,0.00039208883577797712,-0.14079077045238156
-4,2.875,0.00039277917984846772,0.00039257945550419106,-0.12094618376648011
-4,3,0.00039454712637863052,0.000393070075230405,-0.10110159708057867
-4,3.125,0.00039610509784952688,0.00039356069495661894,-0.081257010394677226
-4,3.25,0.00039549663960374254,0.00039405131468283288,-0.061412423708775782
-4,3.375,0.00039766351244507545,0.00039454193440904682,-0.041567837022874338
-4,3.5,0.00039774834488478416,0.00039503255413526081,-0.021723250336970701
-4,3.625,0.0003964965053188545,0.00039552317386147475,-0.0018786636510692567
-4,3.75,0.00039619973996829342,0.00039602848202123671,0.018560040794982469
-4,3.875,0.00039907937424914751,0.00039657765203390393,0.040772869467346096
-4,4,0.00039935290602933891,0.00039715599546592833,0.06416570460586915
-4,4.125,0.00039781574212825342,0.00039773433889795268,0.087558539744390013
-4,4.25,0.0004016083155512876,0.00039831268232997714,0.11095137488291526
-4,4.375,0.00039989536845066201,0.00039908845681418405,0.14232990122011657
-4,4.5,0.00040155614427015476,0.00040009983030535681,0.18323793619107226
-4,4.625,0.00040155399319206231,0.00040128925903205496,0.23134794932855904
-4,4.75,0.00040341543461910775,0.00040252371448395714,0.28127920344709845
-4,4.875,0.00040375816993585927,0.00040375816993585927,0.33121045756563566
-4,5,0.00040584316554219564,0.00040530378732587066,0.39372758975681632
-4,5.125,0.00040716371054073865,0.00040715630639127063,0.4686582809141146
-4,5.25,0.0004097292219186375,0.0004097292219186375,0.57272756816504955
