cell,vertex,x,y
276,0,-2.75,-1.75
276,1,-2.625,-1.75
276,2,-2.75,-1.375
277,0,-3.375,2.875
277,1,-2.75,2.25
277,2,-2.625,2.5
278,0,-2.625,-1.75
278,1,-2.375,-1.875
278,2,-2.125,-1.75
279,0,-2.5,1.625
279,1,-1.75,1.5
279,2,-1.75,2.125
280,0,-1.75,2.125
280,1,-0.875,1.875
280,2,-1.75,2.75
281,0,-3.375,2.875
281,1,-2.625,2.5
281,2,-3.125,3.25
282,0,-2.75,3.375
282,1,-2.5,3.5
282,2,-2.75,3.5
283,0,-3.25,4.75
283,1,-1,3.125
283,2,-1.5,3.5
284,0,-3.125,3.25
284,1,-2.625,2.5
284,2,-2.75,3.375
285,0,-3,4
285,1,-2.75,3.5
285,2,-2.5,3.5
286,0,-3.25,4
286,1,-2.75,3.375
286,2,-2.75,3.5
287,0,-3,4.375
287,1,-2.125,3.75
287,2,-2.25,3.875
288,0,-3,-2
288,1,-2.5,-2.125
288,2,-2.5,-2
289,0,-0.5,2.625
289,1,-0.375,2.375
289,2,0.875,1.5
290,0,-2.75,-1.75
290,1,-2.5,-2
290,2,-2.625,-1.75
291,0,1.25,-2.625
291,1,1.375,-2.625
291,2,1.5,-2.5
292,0,-2.625,-1.75
292,1,-2.5,-2
292,2,-2.375,-1.875
293,0,-3,4.375
293,1,-2.25,3.875
293,2,-3,4.5
294,0,-1.25,1.5
294,1,-0.875,1.625
294,2,-0.875,1.875
295,0,-3,4.5
295,1,-2.25,3.875
295,2,-1.375,3.25
296,0,-1.125,-2.25
296,1,-0.5,-2.375
296,2,-0.875,-2.125
297,0,-2.625,-0.5
297,1,-2.375,-0.5
297,2,-2.5,0.125
298,0,-2.5,-2
298,1,-2.125,-2.125
298,2,-2,-2.125
299,0,-3.125,1.875
299,1,-2.5,1.625
299,2,-2.75,2.125
300,0,-3.25,0.625
300,1,-2.25,0.375
300,2,-2.625,1
301,0,-2.375,-0.5
301,1,-2.25,-1
301,2,-1.25,-1.125
302,0,-2.75,3.375
302,1,-2.625,2.5
302,2,-1.75,2.125
303,0,-1.875,3.375
303,1,-1.75,2.75
303,2,-1.375,2.625
303,3,-0.375,2.375
304,0,-2.5,-2.125
304,1,-2.125,-2.125
304,2,-2.5,-2
305,0,-0.375,-2.625
305,1,-0.125,-2.625
305,2,-0.25,-2.5
306,0,-2.25,4
306,1,-1.75,3.625
306,2,-1,3.125
307,0,-2.625,-0.5
307,1,-2.25,-1
307,2,-2.375,-0.5
308,0,-2.75,-1.375
308,1,-2.625,-1.75
308,2,-2.125,-1.75
309,0,-2.625,1
309,1,-2.25,0.375
309,2,-2,1
310,0,-2,-2.125
310,1,-1.5,-2.125
310,2,-1.25,-2
311,0,-2,-2.25
311,1,-1.5,-2.375
311,2,-2,-2.125
312,0,-3.125,4.25
312,1,-1.875,3.375
312,2,-2.75,4.125
313,0,-2.625,1
313,1,-1.5,1.125
313,2,-2.25,1.25
314,0,-3.25,4.25
314,1,-3,4
314,2,-1.875,3.375
315,0,-2.125,-2.125
315,1,-2,-2.25
315,2,-2,-2.125
316,0,-2,-2.125
316,1,-1.25,-2
316,2,-1.875,-1.875
317,0,-1.5,0.625
317,1,-0.75,0
317,2,-1.125,0.75
318,0,-2.75,3.375
318,1,-1.75,2.75
318,2,-2.5,3.5
319,0,2.5,-2
319,1,2.875,-1.75
319,2,2.625,-1.875
320,0,-2.5,0.125
320,1,-2.375,-0.5
320,2,-2.25,0.375
321,0,-3,4.5
321,1,-1.75,3.625
321,2,-2.25,4
322,0,-2.625,1
322,1,-2.25,1.25
322,2,-2.5,1.625
323,0,-2.5,-2
323,1,-2.125,-1.75
323,2,-2.375,-1.875
324,0,-1.5,-2.375
324,1,-0.75,-2.5
324,2,-1.25,-2.375
325,0,-1.5,-2.125
325,1,-1.125,-2.25
325,2,-1.25,-2
326,0,-2.375,-0.5
326,1,-1.25,-1.125
326,2,-1.375,-0.75
327,0,-2.625,1
327,1,-2,1
327,2,-1.5,1.125
328,0,0.625,-2.875
328,1,0.75,-2.875
328,2,0.625,-2.75
329,0,-0.75,-0.625
329,1,-0.375,-0.875
329,2,-0.5,-0.25
329,3,-0.75,0
330,0,-2.5,-2
330,1,-1.875,-1.875
330,2,-2.125,-1.75
331,0,-2.25,3.875
331,1,-2.125,3.75
331,2,-1.375,3.25
332,0,-2.75,4.125
332,1,-1.875,3.375
332,2,-2.125,3.75
333,0,-1.5,-1.875
333,1,-1.25,-2
333,2,-0.875,-1.5
334,0,-1.5,-2.375
334,1,-1,-2.5
334,2,-0.75,-2.5
335,0,-2.25,-1
335,1,-1.75,-1.625
335,2,-1.5,-1.875
336,0,-2.375,-0.5
336,1,-1.375,-0.75
336,2,-2.25,0.375
337,0,-2.125,3.75
337,1,-1.875,3.375
337,2,-1.625,3.375
338,0,-1.5,1.125
