x,y,ell_A,ell_A_exact
2.5,5.5,0.0020826363092532217,41885461616/20111750395353
2.5,6,0.002085393265555385,41940908833/20111750395353
2.5,6.5,0.0020881502218575479,13998785350/6703916798451
2.5,7,0.0020909071781597113,42051803267/20111750395353
2.5,7.5,0.0020936641344618742,42107250484/20111750395353
2.5,8,0.0020964210907640371,4684744189/2234638932817
2.5,8.5,0.0020991780470662005,42218144918/20111750395353
2.5,9,0.0021019350033683634,42273592135/20111750395353
2.5,9.5,0.0021046919596705268,14109679784/6703916798451
2.5,10,0.0021074489159726897,42384486569/20111750395353
2.5,10.5,0.002110205872274853,42439933786/20111750395353
2.5,11,0.0021129628285770159,14165127001/6703916798451
2.5,11.5,0.0021157197848791793,42550828220/20111750395353
2.5,12,0.0021184767411813422,42606275437/20111750395353
2.5,12.5,0.0021212336974835056,4740191406/2234638932817
2.5,13,0.0021239906537856685,42717169871/20111750395353
2.5,13.5,0.0021267476100878318,42772617088/20111750395353
2.5,14,0.0021295045663899947,14276021435/6703916798451
2.5,14.5,0.0021322615226921577,42883511522/20111750395353
2.5,15,0.002135018478994321,42938958739/20111750395353
2.5,15.5,0.0021377754352964839,14331468652/6703916798451
2.5,16,0.0021405323915986473,43049853173/20111750395353
2.5,16.5,0.0021432893479008102,43105300390/20111750395353
2.5,17,0.0021460463042029736,4795638623/2234638932817
2.5,17.5,0.0021488032605051365,43216194824/20111750395353
2.5,18,0.0021515602168072998,43271642041/20111750395353
2.5,18.5,0.0021543171731094627,14442363086/6703916798451
2.5,19,0.0021570741294116261,43382536475/20111750395353
3,-1,0.0020781703066311548,41795642486/20111750395353
3,-0.5,0.0020809272629333181,41851089703/20111750395353
3,0,0.002083684219235481,4656281880/2234638932817
3,0.5,0.0020864411755376444,41961984137/20111750395353
3,1,0.0020891981318398073,42017431354/20111750395353
3,1.5,0.0020919550881419707,14024292857/6703916798451
3,2,0.0020947120444441336,42128325788/20111750395353
3,2.5,0.0020974690007462969,42183773005/20111750395353
3,3,0.0021002259570484598,14079740074/6703916798451
3,3.5,0.0021029829133506232,42294667439/20111750395353
3,4,0.0021057398696527861,42350114656/20111750395353
3,4.5,0.002108496825954949,4711729097/2234638932817
3,5,0.0021112537822571124,42461009090/20111750395353
3,5.5,0.0021140107385592753,42516456307/20111750395353
3,6,0.0021167676948614387,14190634508/6703916798451
3,6.5,0.0021195246511636016,42627350741/20111750395353
3,7,0.0021222816074657649,42682797958/20111750395353
3,7.5,0.0021250385637679278,14246081725/6703916798451
3,8,0.0021277955200700912,42793692392/20111750395353
3,8.5,0.0021305524763722541,42849139609/20111750395353
3,9,0.0021333094326744175,4767176314/2234638932817
3,9.5,0.0021360663889765804,42960034043/20111750395353
3,10,0.0021388233452787433,43015481260/20111750395353
3,10.5,0.0021415803015809066,14356976159/6703916798451
3,11,0.0021443372578830696,43126375694/20111750395353
3,11.5,0.0021470942141852329,43181822911/20111750395353
3,12,0.0021498511704873958,14412423376/6703916798451
3,12.5,0.0021526081267895592,43292717345/20111750395353
3,13,0.0021553650830917221,43348164562/20111750395353
3,13.5,0.0021581220393938855,4822623531/2234638932817
3,14,0.0021608789956960484,43459058996/20111750395353
3,14.5,0.0021636359519982117,43514506213/20111750395353
3,15,0.0021663929083003746,14523317810/6703916798451
3,15.5,0.002169149864602538,43625400647/20111750395353
3,16,0.0021719068209047009,43680847864/20111750395353
3,16.5,0.0021746637772068638,14578765027/6703916798451
3,17,0.0021774207335090272,43791742298/20111750395353
3,17.5,0.0021801776898111901,43847189515/20111750395353
3,18,0.0021829346461133534,4878070748/2234638932817
3.5,-1,0.0021095447359372088,42426637177/20111750395353
3.5,-0.5,0.0021123016922393717,14160694798/6703916798451
3.5,0,0.0021150586485415347,42537531611/20111750395353
3.5,0.5,0.002117815604843698,42592978828/20111750395353
3.5,1,0.0021205725611458609,4738714005/2234638932817
3.5,1.5,0.0021233295174480243,42703873262/20111750395353
3.5,2,0.0021260864737501872,42759320479/20111750395353
3.5,2.5,0.0021288434300523506,14271589232/6703916798451
3.5,3,0.0021316003863545135,42870214913/20111750395353
3.5,3.5,0.0021343573426566768,42925662130/20111750395353
3.5,4,0.0021371142989588397,14327036449/6703916798451
3.5,4.5,0.0021398712552610031,43036556564/20111750395353
3.5,5,0.002142628211563166,43092003781/20111750395353
3.5,5.5,0.0021453851678653289,4794161222/2234638932817
3.5,6,0.0021481421241674923,43202898215/20111750395353
3.5,6.5,0.0021508990804696552,43258345432/20111750395353
3.5,7,0.0021536560367718185,14437930883/6703916798451
3.5,7.5,0.0021564129930739815,43369239866/20111750395353
3.5,8,0.0021591699493761448,43424687083/20111750395353
3.5,8.5,0.0021619269056783077,14493378100/6703916798451
3.5,9,0.0021646838619804711,43535581517/20111750395353
3.5,9.5,0.002167440818282634,43591028734/20111750395353
3.5,10,0.0021701977745847974,4849608439/2234638932817
3.5,10.5,0.0021729547308869603,43701923168/20111750395353
3.5,11,0.0021757116871891236,401443765/184511471517
3.5,11.5,0.0021784686434912865,14604272534/6703916798451
3.5,12,0.0021812255997934495,43868264819/20111750395353
3.5,12.5,0.0021839825560956128,43923712036/20111750395353
3.5,13,0.0021867395123977757,14659719751/6703916798451
3.5,13.5,0.0021894964686999391,44034606470/20111750395353
3.5,14,0.002192253425002102,44090053687/20111750395353
3.5,14.5,0.0021950103813042653,4905055656/2234638932817
3.5,15,0.0021977673376064283,44200948121/20111750395353
3.5,15.5,0.0022005242939085916,44256395338/20111750395353
3.5,16,0.0022032812502107545,14770614185/6703916798451
3.5,16.5,0.0022060382065129179,44367289772/20111750395353
4,-1,0.0021409191652432625,14352543956/6703916798451
4,-0.5,0.0021436761215454254,43113079085/20111750395353
4,0,0.0021464330778475887,43168526302/20111750395353
4,0.5,0.0021491900341497516,14407991173/6703916798451
4,1,0.002151946990451915,43279420736/20111750395353
4,1.5,0.0021547039467540779,43334867953/20111750395353
4,2,0.0021574609030562408,4821146130/2234638932817
4,2.5,0.0021602178593584042,43445762387/20111750395353
4,3,0.0021629748156605671,43501209604/20111750395353
4,3.5,0.0021657317719627305,14518885607/6703916798451
4,4,0.0021684887282648934,43612104038/20111750395353
4,4.5,0.0021712456845670567,43667551255/20111750395353
4,5,0.0021740026408692196,14574332824/6703916798451
4,5.5,0.002176759597171383,43778445689/20111750395353
4,6,0.0021795165534735459,43833892906/20111750395353
4,6.5,0.0021822735097757093,4876593347/2234638932817
4,7,0.0021850304660778722,43944787340/20111750395353
4,7.5,0.0021877874223800351,44000234557/20111750395353
4,8,0.0021905443786821984,14685227258/6703916798451
4,8.5,0.0021933013349843614,44111128991/20111750395353
4,9,0.0021960582912865247,44166576208/20111750395353
4,9.5,0.0021988152475886876,14740674475/6703916798451
4,10,0.002201572203890851,44277470642/20111750395353
4,10.5,0.0022043291601930139,44332917859/20111750395353
4,11,0.0022070861164951773,4932040564/2234638932817
4,11.5,0.0022098430727973402,44443812293/20111750395353
4,12,0.0022126000290995035,44499259510/20111750395353
4,12.5,0.0022153569854016664,14851568909/6703916798451
4,13,0.0022181139417038298,44610153944/20111750395353
4,13.5,0.0022208708980059927,44665601161/20111750395353
4,14,0.0022236278543081556,14907016126/6703916798451
4,14.5,0.002226384810610319,44776495595/20111750395353
4,15,0.0022291417669124819,44831942812/20111750395353
4.5,-1,0.0021722935945493161,43688626559/20111750395353
4.5,-0.5,0.002175050550851479,43744073776/20111750395353
4.5,0,0.0021778075071536424,14599840331/6703916798451
4.5,0.5,0.0021805644634558053,43854968210/20111750395353
4.5,1,0.0021833214197579686,43910415427/20111750395353
4.5,1.5,0.0021860783760601315,14655287548/6703916798451
4.5,2,0.0021888353323622949,44021309861/20111750395353
4.5,2.5,0.0021915922886644578,44076757078/20111750395353
4.5,3,0.0021943492449666207,4903578255/2234638932817
4.5,3.5,0.0021971062012687841,44187651512/20111750395353
4.5,4,0.002199863157570947,44243098729/20111750395353
4.5,4.5,0.0022026201138731103,14766181982/6703916798451
4.5,5,0.0022053770701752733,44353993163/20111750395353
4.5,5.5,0.0022081340264774366,44409440380/20111750395353
4.5,6,0.0022108909827795995,14821629199/6703916798451
4.5,6.5,0.0022136479390817629,44520334814/20111750395353
4.5,7,0.0022164048953839258,44575782031/20111750395353
