x,y,sigma,sigma_exact,ell_A,ell_A_exact
-2,1,0.0014017266452593981,,0.0014018875458680473,1658890589/1183326432915
-2,2,0.0013999124672180255,,0.0014000306803921472,1656693311/1183326432915
-2,3,0.001398080252794751,,0.0013981738149162468,1654496033/1183326432915
-2,4,0.0013962605314388862,,0.0013963169494403467,330459751/236665286583
-2,5,0.0013944407366801397,,0.0013944600839644464,1650101477/1183326432915
-2,6,0.0013926089816456517,,0.0013926032184885463,1647904199/1183326432915
-2,7,0.0013908085845758058,,0.001390746353012646,1645706921/1183326432915
-2,8,0.0013890016940946461,,0.0013888894875367459,1643509643/1183326432915
-2,9,0.0013872145187904218,,0.0013870326220608456,29842043/21515026053
-2,10,0.0013853891099886997,,0.0013851757565849455,1639115087/1183326432915
-2,11,0.0013835923680893161,,0.0013833188911090452,1636917809/1183326432915
-1,-13,0.0014275801905288066,,0.0014274539746728817,337828804/236665286583
-1,-12,0.0014256628866349107,,0.0014255971091969816,1686946742/1183326432915
-1,-11,0.0014237094264834015,,0.0014237402437210812,1684749464/1183326432915
-1,-10,0.0014217613876429845,,0.0014218833782451811,1682552186/1183326432915
-1,-9,0.0014198345264012835,,0.0014200265127692808,1680354908/1183326432915
-1,-8,0.0014179622909039923,,0.0014181696472933807,335631526/236665286583
-1,-7,0.0014160736256044627,,0.0014163127818174804,152360032/107575130265
-1,-6,0.0014142145353108738,,0.0014144559163415803,1673763074/1183326432915
-1,-5,0.0014123700633325931,,0.00141259905086568,1671565796/1183326432915
-1,-4,0.0014105224238668244,,0.0014107421853897799,1669368518/1183326432915
-1,-3,0.0014086679305990318,,0.0014088853199138796,333434248/236665286583
-1,-2,0.0014068202183717701,,0.0014070284544379795,1664973962/1183326432915
-1,-1,0.0014049695745239181,,0.0014051715889620794,1662776684/1183326432915
-1,0,0.0014031393926827917,,0.0014033147234861791,1660579406/1183326432915
-1,1,0.0014013003058591508,,0.001401457858010279,1658382128/1183326432915
-1,2,0.0013994964329549699,,0.0013996009925343787,331236970/236665286583
-1,3,0.0013976769701015404,,0.0013977441270584786,1653987572/1183326432915
-1,4,0.0013958308663896757,,0.0013958872615825783,150162754/107575130265
-1,5,0.0013940291691317535,,0.0013940303961066782,40233976/28861620315
-1,6,0.0013921720664165041,,0.0013921735306307778,1647395738/1183326432915
-1,7,0.0013903782603794954,,0.0013903166651548777,329039692/236665286583
-1,8,0.0013885712076755091,,0.0013884597996789774,1643001182/1183326432915
-1,9,0.0013867456109043119,,0.0013866029342030773,1640803904/1183326432915
-1,10,0.0013849595913009635,,0.001384746068727177,1638606626/1183326432915
0,-13,0.0014271380817024765,,0.0014270242868151134,1688635559/1183326432915
0,-12,0.0014251955812278013,,0.0014251674213392131,3739331/2623783665
0,-11,0.0014232606997047592,,0.001423310555863313,1684241003/1183326432915
0,-10,0.0014213368121121495,,0.0014214536903874126,336408745/236665286583
0,-9,0.0014194364133573876,,0.0014195968249115125,1679846447/1183326432915
0,-8,0.00141754791752138,,0.0014177399594356122,1677649169/1183326432915
0,-7,0.0014156727764174607,,0.0014158830939597121,1675451891/1183326432915
0,-6,0.0014137987432055823,,0.0014140262284838118,1673254613/1183326432915
0,-5,0.0014119720838808409,,0.0014121693630079117,334211467/236665286583
0,-4,0.0014100839683628059,,0.0014103124975320114,1668860057/1183326432915
0,-3,0.0014082317135928756,,0.0014084556320561113,1666662779/1183326432915
0,-2,0.0014063897785143173,,0.001406598766580211,1664465501/1183326432915
0,-1,0.001404554701918057,,0.0014047419011043109,151115293/107575130265
0,0,0.0014027031811804681,,0.0014028850356284106,332014189/236665286583
0,1,0.0014008606982211503,,0.0014010281701525105,1657873667/1183326432915
0,2,0.0013990542867913763,,0.0013991713046766102,1655676389/1183326432915
0,3,0.001397223726930411,,0.0013973144392007101,1653479111/1183326432915
0,4,0.0013954107568923066,,0.0013954575737248098,1651281833/1183326432915
0,5,0.0013935789359780155,,0.0013936007082489097,329816911/236665286583
0,6,0.0013917466388789304,,0.0013917438427730096,1646887277/1183326432915
0,7,0.001389951924744409,,0.0013898869772971092,1644689999/1183326432915
0,8,0.0013881443455034568,,0.0013880301118212091,1642492721/1183326432915
0,9,0.0013863494916279836,,0.0013861732463453088,1640295443/1183326432915
0,10,0.0013845682600278401,,0.0013843163808694087,29783603/21515026053
1,-14,0.0014287576432497773,,0.001428451464433245,1690324376/1183326432915
1,-13,0.0014267095576718455,,0.0014265945989573449,1688127098/1183326432915
1,-12,0.0014248094289411814,,0.0014247377334814446,337185964/236665286583
1,-11,0.0014228317508357283,,0.0014228808680055445,1683732542/1183326432915
1,-10,0.0014209496735540703,,0.0014210240025296444,1681535264/1183326432915
1,-9,0.0014190250767600302,,0.001419167137053744,1679337986/1183326432915
1,-8,0.0014171188971074753,,0.0014173102715778439,1677140708/1183326432915
1,-7,0.001415261174491161,,0.0014154534061019436,334988686/236665286583
1,-6,0.0014133860973202803,,0.0014135965406260435,152067832/107575130265
1,-5,0.001411522002719442,,0.0014117396751501432,1670548874/1183326432915
1,-4,0.0014096502628868283,,0.0014098828096742431,1668351596/1183326432915
1,-3,0.0014077936800696038,,0.0014080259441983428,1666154318/1183326432915
1,-2,0.0014059312970861927,,0.0014061690787224427,332791408/236665286583
1,-1,0.0014041050905207121,,0.0014043122132465424,1661759762/1183326432915
1,0,0.0014022882570590835,,0.0014024553477706423,1659562484/1183326432915
1,1,0.0014004506805648735,,0.001400598482294742,1657365206/1183326432915
1,2,0.0013986133395865606,,0.0013987416168188419,1655167928/1183326432915
1,3,0.0013967704070401616,,0.0013968847513429416,330594130/236665286583
1,4,0.0013949471772696338,,0.0013950278858670415,1650773372/1183326432915
1,5,0.001393122269188156,,0.0013931710203911412,149870554/107575130265
1,6,0.0013913002717748765,,0.0013913141549152411,1646378816/1183326432915
1,7,0.0013894909459391466,,0.0013894572894393407,1644181538/1183326432915
1,8,0.0013876940904319478,,0.0013876004239634406,328396852/236665286583
1,9,0.0013858815743593861,,0.0013857435584875403,1639786982/1183326432915
2,-14,0.0014282845875560226,,0.0014280217765754767,337963183/236665286583
2,-13,0.0014262890130846385,,0.0014261649110995764,1687618637/1183326432915
2,-12,0.0014243567871530184,,0.0014243080456236763,1685421359/1183326432915
2,-11,0.0014224182482275715,,0.001422451180147776,153020371/107575130265
2,-10,0.0014204963438287175,,0.0014205943146718759,1681026803/1183326432915
2,-9,0.0014185875069798364,,0.0014187374491959755,335765905/236665286583
2,-8,0.0014167158264287076,,0.0014168805837200754,1676632247/1183326432915
2,-7,0.0014148227623301997,,0.0014150237182441751,1674434969/1183326432915
2,-6,0.0014129361937135925,,0.001413166852768275,1672237691/1183326432915
2,-5,0.0014110896865154889,,0.0014113099872923747,40732693/28861620315
2,-4,0.0014092215258197742,,0.0014094531218164746,333568627/236665286583
2,-3,0.0014073684180717623,,0.0014075962563405743,1665645857/1183326432915
2,-2,0.0014055318590625563,,0.0014057393908646742,1663448579/1183326432915
2,-1,0.0014036660397815531,,0.0014038825253887741,1661251301/1183326432915
2,0,0.0014018481399330394,,0.0014020256599128738,150823093/107575130265
2,1,0.0014000240584886557,,0.0014001687944369737,331371349/236665286583
2,2,0.0013981843032875366,,0.0013983119289610734,1654659467/1183326432915
2,3,0.0013963689931107152,,0.0013964550634851733,1652462189/1183326432915
